"ITL3.Region","change_1998_1999","change_1999_2000","change_2000_2001","change_2001_2002","change_2002_2003","change_2003_2004","change_2004_2005","change_2005_2006","change_2006_2007","change_2007_2008","change_2008_2009","change_2009_2010","change_2010_2011","change_2011_2012","change_2012_2013","change_2013_2014","change_2014_2015","change_2015_2016","change_2016_2017","change_2017_2018","change_2018_2019"
"Aberdeen City and Aberdeenshire",0.00848111025443331,0.00735617039964866,0.0159545989934683,0.00670201060318095,0.0117400019089434,0.0140182519522062,0.00563707945597709,0.0112283663993246,0.017602495543672,0.00589022757697456,0.0104198590254367,0.00173063848198282,0.00727186028491387,0.00115413468751803,0.00677521582340728,0.0103040454799249,-0.00706645370504816,0.00233273774071868,0.000267079750013354,0.00691182029267239,0.00657267041238206
"Angus and Dundee City",0.00703794369645043,0.0243389423076923,0.0186388025981361,0.0156164383561644,0.0241596638655462,0.016490278119616,0.0257439773264053,0.0217736448174189,0.0145051194539249,0.00821692686935086,0.00685207577589682,0.000824402308326463,0.0112925993143779,0.00952751312463543,-0.000563168762905951,0.00911078717201166,-0.00573613766730402,0.00172651933701657,0.0138419986495611,0.00842000990589401,0.0118059987236758
"Antrim and Newtownabbey",0.00712719298245614,0.00879461976202794,0.0082046332046332,0.0129091747349009,0.0124832813196612,0.00681721346399659,0.0147540983606557,0.012573673870334,0.00913408841797589,0.00866250866250866,0.0133473832103969,-0.0102115244347192,0.00992204110559887,0.00883152173913043,-0.00731139913592556,0.000657246138678935,0.00093167701863354,0.00390742410580102,0.00976450315910396,0.00687757909215956,0.0105348460291734
"Ards and North Down",0.00791139240506329,0.00971599402092676,0.00351617440225035,0.0174029451137885,0.0191693290734824,0.00842865743527995,0.018724400234055,0.0136686714051394,0.00306122448979592,0.0172668968919586,0.00780487804878049,-0.0153846153846154,0.0106544901065449,0.00869985500241663,-0.00792910447761194,0.0118035882908404,0.00679963735267452,0.00045004500450045,0.00544616673648932,0.00809388911371914,-0.000786163522012579
"Armagh City, Banbridge and Craigavon",0.00852985449071751,0.0104612458392772,0.00892857142857143,0.0158995815899582,0.0149313962873285,0.00797569312571212,0.0177279305354559,0.0139883998635278,0.00825658939345824,0.0123568414707655,0.0141056422569028,-0.0123839009287926,0.0139098881161173,0.00727590221187427,-0.00625533124822292,0.00188526797737678,0.000256147540983607,0.00721931789892955,0.00961313012895662,0.00408533817521562,0.00588235294117647
"Barking & Dagenham and Havering",0.00775324456430137,0.00705959612543096,0.00723821778993084,0.00915982312065698,0.0106629578117756,0.0142333088774762,0.00972104818258664,0.014775654059916,-0.00176589303733602,0.00238635007755638,0.0035778175313059,0.00818728412434438,0.000119431506031291,0.0203003989673785,-0.00165526373868903,0.00219665271966527,0.00610916374561843,0.00871950622122073,0.00378383622780635,-0.00581001258836061,0.00824455766558592
"Barnet",0.0124043828819516,0.0119644924739483,0.0137265813392692,0.0122104507092835,0.0140917683450765,0.0161080377481289,0.0133041164501487,0.015571193292409,-0.00154104791258055,0.00826005861977085,0.00924685071026534,-0.0038017459870459,0.0141227593699077,0.0154591903576575,0.00156777616980222,0.01247231612076,0.000763275542470832,0.00682448283216038,-0.0041599025974026,-0.00081045486779455,0.00313234142521535
"Barnsley, Doncaster and Rotherham",0.00282485875706215,0.0133503598792663,0.0247480403135498,0.0203709660126514,0.0145881876203019,0.0170785230416945,0.00641894946207395,0.0256140350877193,0.0174224741580527,0.00368107769423559,0.018032915977636,0.00244837998857423,-0.00281866583150642,0.015277038838641,-0.00421971626045835,0.00412078152753108,0.0251440189766181,0.00367007919644582,-0.00182344064386318,0.00400789615361608,0.00439444542098787
"Bath and North East Somerset, North Somerset and South Gloucestershire",0.00949212251688032,0.0129967274427302,0.0118228339509441,0.017824573039297,0.0142340358603334,0.0130005200208008,0.000922574693066496,0.0108978752570254,0.00625287961561245,0.0168377566349524,0.00711872586872587,0.0137298362270656,0.00334919795522651,0.00405528901073795,0.00355191256830601,0.00567338282078473,-0.00133504746835443,0.00758717961188658,0.000602242194014639,0.0106310481123075,0.0086613832229007
"Bedford",0.0159689253344842,0.014338385907415,0.0196618167518679,0.0105501130369254,0.0157819225251076,0.0194672131147541,0.0165070980521624,0.0148193887002161,0.00861556743909685,0.0173010380622837,0.0154910096818811,0.0048780487804878,0.00512820512820513,0.00955861681192016,-0.00486749594375338,0.00079428117553614,0.00811010076185795,-0.00513299113392441,0.0120018115942029,0.00946643717728055,0.0102941176470588
"Belfast",0.00536410923276983,0.0135960892147877,0.0130185979971388,0.0179616274323037,0.0266337534104196,0.00855614973262032,0.0204473565295978,0.00970770215489652,0.00190801365736092,0.0160115052732502,0.0143748817855116,-0.0148001508295626,0.0143266475644699,0.00804066543438078,-0.011761512711481,0.00936788653475749,0.0028879639853903,0.0226566334042205,0.0229680612481633,0.00220896841175171,0.00719424460431655
"Berkshire",0.00124157502660518,0.00816797986881729,0.00949748939317271,0.00745840504876649,0.00549954170485793,0.00436696238222956,0.00591360128295079,0.00464440302044169,0.00796500226278473,0.00824706594769169,0.00375392200806813,0.00875409465717836,0.00066386368665634,0.00134468848050202,0.00180781178387737,0.00147190899111865,0.00464448168542016,0.00240885718256358,0.00322959483264827,0.00542463707640612,0.0071053508918153
"Bexley and Greenwich",0.0105448154657293,0.00814971325083006,0.00754388510082693,0.0104122695933587,0.0150923056191888,0.0180868679149153,0.0121502209131075,0.0158803755650864,-0.00295598861396978,0.00418235048097031,0.00387675984492961,0.000758232235701906,0.0083264802631579,0.0125811283075387,0.00372612948299953,0.0043308791684712,0.0051161620397551,0.00514966205342774,0.00949464012251149,0.000685975609756098,0.00926964192270315
