"ITL3.Region","average_pre_2009","average_post_2009"
"Aberdeen City and Aberdeenshire",0.00848111025443331,0.00727186028491387
"Angus and Dundee City",0.00703794369645043,0.0112925993143779
"Antrim and Newtownabbey",0.00712719298245614,0.00992204110559887
"Ards and North Down",0.00791139240506329,0.0106544901065449
"Armagh City, Banbridge and Craigavon",0.00852985449071751,0.0139098881161173
"Barking & Dagenham and Havering",0.00775324456430137,0.000119431506031291
"Barnet",0.0124043828819516,0.0141227593699077
"Barnsley, Doncaster and Rotherham",0.00282485875706215,-0.00281866583150642
"Bath and North East Somerset, North Somerset and South Gloucestershire",0.00949212251688032,0.00334919795522651
"Bedford",0.0159689253344842,0.00512820512820513
"Belfast",0.00536410923276983,0.0143266475644699
"Berkshire",0.00124157502660518,0.00066386368665634
"Bexley and Greenwich",0.0105448154657293,0.0083264802631579
"Birmingham",0.0107368138504899,0.00167032967032967
"Blackburn with Darwen",0.00390407138873397,0.00482733011511326
"Blackpool",0.0052321778940484,-0.00730240549828179
"Bournemouth, Christchurch and Poole",0.00358690778657899,0.0045612295488349
"Bradford",0.0127928227280279,0.00562789671154271
"Breckland and South Norfolk",0.0186619718309859,0.00742311770943796
"Brent",0.00974745237040319,0.00504831963075148
"Bridgend and Neath Port Talbot",0.00925122867880891,0.00540540540540541
"Brighton and Hove",0.00523127753303965,0.00533894191878337
"Bristol, City of",0.0106459502229895,0.00322294738538393
"Bromley",0.00771315405461747,0.00487329434697856
"Buckinghamshire CC",0.00228509249183896,-0.0025538124771981
"Caithness and Sutherland and Ross and Cromarty",0.0184049079754601,0.00327332242225859
"Calderdale and Kirklees",0.0107943537226681,0.00332984492436495
"Cambridgeshire CC",0.0179622174047693,0.00103835817248962
"Camden and City of London",0.00558223663693632,0.00517351624716619
"Cardiff and Vale of Glamorgan",0.0129183793305931,0.010351966873706
"Causeway Coast and Glens",0.00813008130081301,0.01071761416589
"Central Bedfordshire",0.00886001181334909,0.00144062564313645
"Central Hampshire",-0.00377274744784731,-0.000443491758444822
"Central Valleys",0.0107843137254902,0.00245398773006135
"Cheshire East",0.00964039785768936,-0.000460447555023483
"Cheshire West and Chester",0.0113014303372771,-0.000106723585912487
"Chorley and West Lancashire",0.00456447318372005,0.00025062656641604
"City of Edinburgh",0.00671538613470275,0.00291234948193783
"Clackmannanshire and Fife",0.00672645739910314,0.0103737199095624
"Conwy and Denbighshire",0.0125231910946197,0.0133457479826195
"Cornwall and Isles of Scilly",0.000535714285714286,0.00392823017305446
"Coventry",0.00850734725444702,0.00885423549623365
"Croydon",0.0117235345581802,0.00300372461852697
"Darlington",0.00889679715302491,0.0115860966839792
"Derby",0.00375146541617819,0.000298018179108926
"Derry City and Strabane",0.0105680317040951,0.0171218915613534
"Devon CC",0.0105337789932138,0.0078436333733949
"Dudley",0.00764969664996043,0.0138944025406908
"Dumfries and Galloway",0.00706214689265537,0.0131578947368421
"Durham CC",0.0132718894009217,0.00337990085624155
"Ealing",0.0077893175074184,0.0117406840224604
"East Ayrshire and North Ayrshire mainland",0.0075642965204236,-0.00124843945068664
"East Cumbria",0.00223325062034739,-0.00218170484650148
"East Derbyshire",0.00348027842227378,0.00179856115107914
"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",0.0104592996816735,0.0113840623127621
"East Kent",-0.00106571936056838,0.000449387709246152
"East Lancashire",0.00428211586901763,0.0046737371921625
"East Lothian and Midlothian",0.0082063305978898,0.011671686746988
"East Merseyside",0.0106847984458475,-0.00690152451586321
"East Riding of Yorkshire",-0.000471809389006841,-0.0026160889470242
"East Surrey",0.00196304849884527,0.00328360339781569
"East Sussex CC",0.00196956132497762,-0.000473484848484848
"Enfield",0.00996754751970329,0.00299625468164794
"Essex Haven Gateway",0.0087890625,-0.00299513290902284
"Essex Thames Gateway",0.00602668962548429,-0.00361167292689974
"Falkirk",0.00521512385919166,0.0253307064452575
"Fermanagh and Omagh",0.0102362204724409,0.00700350175087544
"Flintshire and Wrexham",0.0072855464159812,0.0147905962945664
"Glasgow City",0.00905363853775196,0.00835894946880224
"Gloucestershire",0.00969030969030969,0.000821484992101106
"Greater Manchester North East",0.00737571913261543,0.00591300861896172
"Greater Manchester North West",0.00981132075471698,-0.000206206825445922
"Greater Manchester South East",0.00919719407638348,-0.0032071177322574
"Greater Manchester South West",0.00590876861262113,-0.00316265060240964
"Gwent Valleys",0.0113768961493582,0.0102125885785744
"Gwynedd",0.0122501611863314,0.0172786177105832
"Hackney and Newham",0.0181758096497026,0.00840256797583082
"Haringey and Islington",0.0104823936495013,0.00335927439673031
"Harrow and Hillingdon",0.00748502994011976,0.00691271940370281
"Hartlepool and Stockton-on-Tees",0.010498687664042,0.00918183308739138
"Heart of Essex",0.00842020850040096,-0.00223009313918405
"Herefordshire, County of",0.00417536534446764,0.00794378246257256
"Hertfordshire",0.00725069527214938,-0.00150834403080873
"Hounslow and Richmond upon Thames",0.00627389471620429,0.00308247062928929
"Inverclyde, East Renfrewshire and Renfrewshire",0.007056681083542,0.00490516677567037
"Inverness and Nairn and Moray, Badenoch and Strathspey",0.015552099533437,0.00638766519823789
"Isle of Anglesey",0.00890207715133531,0.00734522560335782
