"ITL3.Region","average_pre_2009","average_post_2009"
"Aberdeen City and Aberdeenshire",0.00318401405357927,0.0318541173754977
"Angus and Dundee City",0.0180288461538462,0.0357767839782228
"Antrim and Newtownabbey",0.0563890325918262,0.0414402173913043
"Ards and North Down",0.0553064275037369,0.0473658772353794
"Armagh City, Banbridge and Craigavon",0.0523062291963861,0.0375436554132712
"Barking & Dagenham and Havering",0.0259399113446068,0.0174841586482046
"Barnet",0.0665766113469703,0.0352417136119481
"Barnsley, Doncaster and Rotherham",0.0136986301369863,0.0292619898153074
"Bath and North East Somerset, North Somerset and South Gloucestershire",0.0445067788686302,0.0279300891021247
"Bedford",0.0507988529291274,0.0132133820635367
"Belfast",0.0601894286587229,0.0323475046210721
"Berkshire",0.0696753434264263,0.046800432409629
"Bexley and Greenwich",0.0553878659824932,0.0286570144782826
"Birmingham",0.0293121417404898,0.0224303884496391
"Blackburn with Darwen",0.0344641895530425,0.0291997116077866
"Blackpool",0.0285895806861499,0.0160608622147084
"Bournemouth, Christchurch and Poole",0.0540082001979358,0.026168404789494
"Bradford",0.0519766892424004,0.0455024225826838
"Breckland and South Norfolk",0.0580431177446103,0.040301241603908
"Brent",0.0740512820512821,0.0322445561139028
"Bridgend and Neath Port Talbot",0.0198356474922074,0.0310378273520854
"Brighton and Hove",0.0519446619681545,0.0358758384027453
"Bristol, City of",0.0399171270718232,0.0103659995215693
"Bromley",0.0592272994704844,0.0231229597388466
"Buckinghamshire CC",0.0457896376284913,0.0456128133704735
"Caithness and Sutherland and Ross and Cromarty",0.0507487520798669,0.0595177013853258
"Calderdale and Kirklees",0.0445590374190136,0.0361302154974782
"Cambridgeshire CC",0.0494554018251398,0.0316436978766192
"Camden and City of London",0.0155348151786811,0.0385491330287407
"Cardiff and Vale of Glamorgan",0.055070051324733,0.0430700318718236
"Causeway Coast and Glens",0.0623700623700624,0.0533745037494486
"Central Bedfordshire",0.040249433106576,0.0355299722111949
"Central Hampshire",0.020221787345075,0.0354341936403821
"Central Valleys",0.0204865556978233,0.0426781519185591
"Cheshire East",0.0452885317750183,0.0426694877898263
"Cheshire West and Chester",0.0670510708401977,0.00783566285472258
"Chorley and West Lancashire",0.033811098860713,0.0222984562607204
"City of Edinburgh",0.00667059054345694,0.0211074561403509
"Clackmannanshire and Fife",0.022903804023103,0.0243934085895939
"Conwy and Denbighshire",0.0226654578422484,0.0484347312463083
"Cornwall and Isles of Scilly",0.0346491984140665,0.0345428454284543
"Coventry",0.0210107893242476,0.0409378960709759
"Croydon",0.0430341594105827,0.00928460897512201
"Darlington",0.0169096209912536,0.0361956103195995
"Derby",0.0551617190961453,0.0595571748878924
"Derry City and Strabane",0.0483972344437461,0.041796875
"Devon CC",0.0480185131617009,0.0227483464177536
"Dorset",0.0535524920466596,0.0210314352835888
"Dudley",0.0358596134282808,0.0337552742616034
"Dumfries and Galloway",0.0319051959890611,0.0397111913357401
"Durham CC",0.0502450980392157,-0.00124083474337281
"Ealing",0.0643761929550581,0.0407638633859714
"East Ayrshire and North Ayrshire mainland",0.0357403355215171,0.020542920029347
"East Cumbria",0.0270400772573636,-0.00674615625980546
"East Derbyshire",0.0284587207664131,0.0272161741835148
"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",0.0325560932688077,0.046558126249643
"East Kent",0.034636488340192,0.0310254735467015
"East Lancashire",0.0491017964071856,0.0395372928176796
"East Lothian and Midlothian",0.0312322544009086,0.0466618808327351
"East Merseyside",0.0492535016161305,0.0170109356014581
"East Riding of Yorkshire",0.00258823529411765,0.0127522195318805
"East Surrey",0.0455196737573019,0.00835279960359595
"East Sussex CC",0.0532293609086286,0.0261671469740634
"Enfield",0.0597210113339146,0.0309233449477352
"Essex Haven Gateway",0.0168970814132104,0.0232813261823501
"Essex Thames Gateway",0.013797495223944,0.0132573057733428
"Falkirk",-0.00217770034843206,0.0222894881673087
"Fermanagh and Omagh",0.0536512667660209,0.0272506082725061
"Flintshire and Wrexham",0.016412390198798,0.0754282424067943
"Glasgow City",0.027736256435808,0.0369774084653337
"Gloucestershire",0.0350877192982456,0.012788521522146
"Greater Manchester North East",0.0481606290367874,0.0214769049720506
"Greater Manchester North West",0.041383301982347,0.0170264518090605
"Greater Manchester South East",0.0493479549496147,0.00483887573355297
"Greater Manchester South West",0.039718565592374,0.0174607872151524
"Gwent Valleys",0.0126728110599078,0.0612404617491685
"Gwynedd",0.00513149454778704,0.0484997944923962
"Hackney and Newham",0.0564390396008731,0.0584888888888889
"Haringey and Islington",0.0513612666537942,0.0520142242980733
"Harrow and Hillingdon",0.0533774208786018,0.040655094861888
"Hartlepool and Stockton-on-Tees",0.0472618154538635,0.0124676165803109
"Heart of Essex",0.0105137869470343,0.0199280020570841
"Herefordshire, County of",0.0533596837944664,0.0586712683347714
"Hertfordshire",0.0612149750571122,0.0138616368124565
"Hounslow and Richmond upon Thames",0.0669532607701454,0.0331758884390463
"Inverclyde, East Renfrewshire and Renfrewshire",0.00340290381125227,0.0407779171894605
"Inverness and Nairn and Moray, Badenoch and Strathspey",0.0381451009723261,0.0543636742345345
"Isle of Anglesey",0.00882352941176471,0.046046046046046
"Isle of Wight",0.0391246684350133,0.0430602006688963
"Kensington & Chelsea and Hammersmith & Fulham",0.073406088454911,0.054276648889489
"Kent Thames Gateway",0.0352805089647195,0.0340603123317178
"Kingston upon Hull, City of",0.0259703196347032,-0.0282092483485092
"Lambeth",0.064340239912759,0.0500368595650571
"Lancaster and Wyre",0.0318404478656403,0.0262837673399854
"Leeds",0.0578360840739173,0.0271379401641514
"Leicester",0.030908668370904,0.0243109540636042
"Leicestershire CC and Rutland",0.0262464630695678,-0.00803437967115097
"Lewisham and Southwark",0.061047099252072,0.08546875
"Lincolnshire",0.0227771996762632,0.0283661951183757
"Lisburn and Castlereagh",0.0571102227298686,0.0357669616519174
"Liverpool",0.0504499188670895,0.0127893799579084
"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",0.0682471264367816,0.0268336314847943
"Luton",0.0372688477951636,0.0112781954887218
"Manchester",0.0441445098437183,0.0167165527757384
"Medway",0.0317513368983957,0.0349173553719008
"Merton, Kingston upon Thames and Sutton",0.0618117598171619,0.0228860157527121
"Mid and East Antrim",0.0470383275261324,-0.0386705017577501
"Mid Kent",0.0345927379784102,0.0343647955216918
"Mid Lancashire",0.0498869062578537,0.0235376778499912
"Mid Ulster",0.0646347871781398,0.0287618379515959
"Milton Keynes",0.0400274866861364,0.0408666187493582
"Monmouthshire and Newport",0.0417478430281102,0.0388888888888889
"Na h-Eileanan Siar",0.0670731707317073,0.043859649122807
"Newry, Mourne and Down",0.0624624624624625,0.0518134715025907
"North and North East Lincolnshire",0.00890143291359097,-0.0235002189461393
"North and West Norfolk",0.0346246143297909,0.0378923766816143
"North Hampshire",0.0275108595498223,0.0301143879853708
"North Lanarkshire",0.0195145168967158,0.0311402839261181
"North Northamptonshire",0.0288438617401669,0.00213149696671586
"North Nottinghamshire",0.0377233620119126,0.0367823994499828
"North Yorkshire CC",0.0254672897196262,0.0453701641048489
"Northumberland",0.0113250283125708,0.0243207296218887
"Norwich and East Norfolk",0.0384534566085312,0.0210670655696834
"Nottingham",0.0427923486491816,0.0436119335003416
"Orkney Islands",0.0600600600600601,0.0558213716108453
"Oxfordshire",0.0463098134630981,0.0360827469446061
"Perth and Kinross and Stirling",-0.00636773680021226,0.0307104913678619
"Peterborough",0.0308641975308642,0.0402245088868101
"Plymouth",0.051143583227446,0.0359269551409289
"Portsmouth",0.0326301911667765,0.0244324740284725
"Powys",0.0334224598930481,0.0373406193078324
"Redbridge and Waltham Forest",0.056745182012848,0.0359331811080399
"Sandwell",0.0157684160979054,0.00476277706539659
"Scottish Borders",0.0027681660899654,0.0406162464985994
"Sefton",0.0653901734104046,-0.00926365795724465
"Sheffield",0.010443864229765,0.0400721134147341
"Shetland Islands",0.0344827586206897,0.0801576872536137
"Shropshire CC",0.0208709095593919,0.0417874808118711
"Solihull",0.0180774138664398,0.0356492718446602
"Somerset",0.0686055182699478,0.00952629518465353
"South and West Derbyshire",0.0286760219646126,0.0467587672688629
"South Ayrshire",0.0239596469104666,0.0249693000409333
"South Hampshire",0.015761285386381,0.0402730375426621
"South Lanarkshire",0.0190170412447518,0.025027720576588
"South Nottinghamshire",0.0410992820004952,0.0272727272727273
"South Teesside",0.0332527206771463,0.0218166561778897
"South West Wales",-0.000240731824747232,0.0324540367705835
"Southampton",-0.00299482711679826,0.0520863729209221
"Southend-on-Sea",0.0380584666298952,0.0217465171593612
"Staffordshire CC",0.0201881950384944,0.0426300157241861
"Stoke-on-Trent",0.0111076828139463,0.0457850265278051
"Suffolk",0.0392749244712991,0.0298454008237331
"Sunderland",-0.0140772971589455,0.0182611506140918
"Swansea",0.0171428571428571,0.040983606557377
"Swindon",0.0384021187375855,-0.00794912559618442
"Telford and Wrekin",0.0253787878787879,0.0453949094725794
"Thurrock",-0.0098239869013508,-0.0392731535756155
"Torbay",0.0586206896551724,0.00972222222222222
"Tower Hamlets",0.004455533772946,0.0884302822925577
"Tyneside",0.00952710895548242,0.0422602594088879
"Wakefield",0.0501938379922465,0.0271876392809389
"Walsall",0.0290322580645161,0.0691009937601109
"Wandsworth",0.0818452380952381,0.0462767561049141
"Warrington",0.0270205066344994,0.0243430598097695
"Warwickshire",0.070910391335445,0.0505166475315729
"West Cumbria",0.0392212189616253,0.0103455410717981
"West Essex",0.0415335463258786,0.000788850907178543
"West Kent",0.035664226755957,0.0488875586151851
"West Lothian",0.0393541876892028,0.0248734316530927
"West Northamptonshire",0.0192521877486078,0.021366679795195
"West Surrey",0.0653006733224983,0.0189022033243139
"West Sussex (North East)",0.0626588713777326,0.0268290530403318
"West Sussex (South West)",0.0732959101844427,0.0226877985236648
"Westminster",0.0601142696904904,0.0307018429179871
"Wiltshire",0.0478674440012274,0.027419823660498
"Wirral",0.0710365853658537,0.0135054617676266
"Wolverhampton",0.0418118466898955,0.0467430073211939
"Worcestershire",0.0459770114942529,0.0590547956425588
"York",0.0373858447488584,0.0421373498296575
"Grand Total",0.039982541310941,0.0317700685360391
